category,product,month,year,price
export-prices,Mixed papers,January,2004,32 - 35
export-prices,Mixed papers,February,2004,32 - 38
export-prices,Mixed papers,March,2004,32 - 38
export-prices,Mixed papers,April,2004,35 - 38
export-prices,Mixed papers,May,2004,35 - 40
export-prices,Mixed papers,June,2004,35 - 40
export-prices,Mixed papers,July,2004,33 - 38
export-prices,Mixed papers,August,2004,34 - 37
export-prices,Mixed papers,September,2004,36 - 68
export-prices,Mixed papers,October,2004,36 - 68
export-prices,Mixed papers,November,2004,37 - 39
export-prices,Mixed papers,December,2004,37 - 39
export-prices,Old kls (cardboard),January,2004,43 - 50
export-prices,Old kls (cardboard),February,2004,45 - 50
export-prices,Old kls (cardboard),March,2004,50 - 55
export-prices,Old kls (cardboard),April,2004,50 - 55
export-prices,Old kls (cardboard),May,2004,53 - 55
export-prices,Old kls (cardboard),June,2004,53 - 55
export-prices,Old kls (cardboard),July,2004,53 - 55
export-prices,Old kls (cardboard),August,2004,50 - 53
export-prices,Old kls (cardboard),September,2004,50 - 52
export-prices,Old kls (cardboard),October,2004,50 - 52
export-prices,Old kls (cardboard),November,2004,49 - 53
export-prices,Old kls (cardboard),December,2004,50 - 53
export-prices,News and pams,January,2004,43 - 47
export-prices,News and pams,February,2004,43 - 50
export-prices,News and pams,March,2004,50 - 55
export-prices,News and pams,April,2004,50 - 55
export-prices,News and pams,May,2004,50 - 55
export-prices,News and pams,June,2004,48 - 53
export-prices,News and pams,July,2004,47 - 52
export-prices,News and pams,August,2004,46 - 50
export-prices,News and pams,September,2004,46 - 50
export-prices,News and pams,October,2004,46 - 55
export-prices,News and pams,November,2004,46 - 53
export-prices,News and pams,December,2004,47 - 53
export-prices,Coloured best pams,January,2004,65 - 73
export-prices,Coloured best pams,February,2004,65 - 73
export-prices,Coloured best pams,March,2004,65 - 70
export-prices,Coloured best pams,April,2004,67 - 72
export-prices,Coloured best pams,May,2004,62 - 67
export-prices,Coloured best pams,June,2004,62 - 67
export-prices,Coloured best pams,July,2004,62 - 67
export-prices,Coloured best pams,August,2004,62 - 67
export-prices,Coloured best pams,September,2004,65 - 67
export-prices,Coloured best pams,October,2004,65 - 67
export-prices,Coloured best pams,November,2004,69 - 71
export-prices,Coloured best pams,December,2004,68 - 71
export-prices,Tear white shavings,January,2004,95 - 110
export-prices,Tear white shavings,February,2004,95 - 110
export-prices,Tear white shavings,March,2004,95 - 100
export-prices,Tear white shavings,April,2004,95 - 100
export-prices,Tear white shavings,May,2004,90 - 115
export-prices,Tear white shavings,June,2004,88 - 110
export-prices,Tear white shavings,July,2004,88 - 110
export-prices,Tear white shavings,August,2004,88 - 110
export-prices,Tear white shavings,September,2004,88 - 110
export-prices,Tear white shavings,October,2004,88 - 110
export-prices,Tear white shavings,November,2004,88 - 110
export-prices,Tear white shavings,December,2004,90 - 105
export-prices,White letter,January,2004,125 - 140
export-prices,White letter,February,2004,125 - 140
export-prices,White letter,March,2004,125 - 135
export-prices,White letter,April,2004,125 - 135
export-prices,White letter,May,2004,125 - 135
export-prices,White letter,June,2004,125 - 135
export-prices,White letter,July,2004,120 - 130
export-prices,White letter,August,2004,120 - 128
export-prices,White letter,September,2004,125 - 130
export-prices,White letter,October,2004,125 - 128
export-prices,White letter,November,2004,125 - 130
export-prices,White letter,December,2004,125 - 132
export-prices,Best white 2,January,2004,170 - 180
export-prices,Best white 2,February,2004,170 - 180
export-prices,Best white 2,March,2004,170 - 180
export-prices,Best white 2,April,2004,170 - 180
export-prices,Best white 2,May,2004,170 - 180
export-prices,Best white 2,June,2004,170 - 178
export-prices,Best white 2,July,2004,170 - 178
export-prices,Best white 2,August,2004,170 - 178
export-prices,Best white 2,September,2004,170 - 175
export-prices,Best white 2,October,2004,170 - 172
export-prices,Best white 2,November,2004,170 - 172
export-prices,Best white 2,December,2004,170 - 172
export-prices,Mixed papers,January,2005,37 - 39
export-prices,Mixed papers,February,2005,36 - 39
export-prices,Mixed papers,March,2005,36 - 39
export-prices,Mixed papers,April,2005,38 - 39
export-prices,Mixed papers,May,2005,38 - 39
export-prices,Mixed papers,June,2005,36 - 38
export-prices,Mixed papers,July,2005,36 - 39
export-prices,Mixed papers,August,2005,38 - 41
export-prices,Mixed papers,September,2005,38 - 41
export-prices,Mixed papers,October,2005,38 - 41
export-prices,Mixed papers,November,2005,27 - 39
export-prices,Mixed papers,December,2005,37 - 39
export-prices,Old kls (cardboard),January,2005,51 - 54
export-prices,Old kls (cardboard),February,2005,51 - 56
export-prices,Old kls (cardboard),March,2005,52 - 57
export-prices,Old kls (cardboard),April,2005,55 - 60
export-prices,Old kls (cardboard),May,2005,55 - 60
export-prices,Old kls (cardboard),June,2005,55 - 58
export-prices,Old kls (cardboard),July,2005,55 - 59
export-prices,Old kls (cardboard),August,2005,56 - 62
export-prices,Old kls (cardboard),September,2005,56 - 62
export-prices,Old kls (cardboard),October,2005,58 - 62
export-prices,Old kls (cardboard),November,2005,58 - 62
export-prices,Old kls (cardboard),December,2005,58 - 62
export-prices,News and pams,January,2005,46 - 51
export-prices,News and pams,February,2005,47 - 52
export-prices,News and pams,March,2005,47 - 52
export-prices,News and pams,April,2005,47 - 52
export-prices,News and pams,May,2005,47 - 52
export-prices,News and pams,June,2005,45 - 49
export-prices,News and pams,July,2005,45 - 49
export-prices,News and pams,August,2005,47 - 52
export-prices,News and pams,September,2005,47 - 52
export-prices,News and pams,October,2005,48 - 52
export-prices,News and pams,November,2005,50 - 58
export-prices,News and pams,December,2005,50 - 58
export-prices,Coloured best pams,January,2005,68 - 71
export-prices,Coloured best pams,February,2005,68 - 72
export-prices,Coloured best pams,March,2005,68 - 72
export-prices,Coloured best pams,April,2005,70 - 73
export-prices,Coloured best pams,May,2005,70 - 73
export-prices,Coloured best pams,June,2005,70 - 72
export-prices,Coloured best pams,July,2005,70 - 72
export-prices,Coloured best pams,August,2005,70 - 72
export-prices,Coloured best pams,September,2005,70 - 72
export-prices,Coloured best pams,October,2005,75 - 80
export-prices,Coloured best pams,November,2005,72 - 74
export-prices,Coloured best pams,December,2005,72 - 74
export-prices,Tear white shavings,January,2005,90 - 105
export-prices,Tear white shavings,February,2005,90 - 100
export-prices,Tear white shavings,March,2005,90 - 100
export-prices,Tear white shavings,April,2005,90 - 100
export-prices,Tear white shavings,May,2005,90 - 100
export-prices,Tear white shavings,June,2005,90 - 100
export-prices,Tear white shavings,July,2005,90 - 100
export-prices,Tear white shavings,August,2005,90 - 100
export-prices,Tear white shavings,September,2005,90 - 100
export-prices,Tear white shavings,October,2005,90 - 100
export-prices,Tear white shavings,November,2005,90 - 100
export-prices,Tear white shavings,December,2005,90 - 100
export-prices,White letter,January,2005,125 - 130
export-prices,White letter,February,2005,125 - 130
export-prices,White letter,March,2005,125 - 130
export-prices,White letter,April,2005,125 - 130
export-prices,White letter,May,2005,125 - 130
export-prices,White letter,June,2005,125 - 130
export-prices,White letter,July,2005,125 - 130
export-prices,White letter,August,2005,125 - 130
export-prices,White letter,September,2005,125 - 130
export-prices,White letter,October,2005,125 - 130
export-prices,White letter,November,2005,125 - 130
export-prices,White letter,December,2005,125 - 130
export-prices,Best white 2,January,2005,170 - 172
export-prices,Best white 2,February,2005,170 - 172
export-prices,Best white 2,March,2005,170 - 172
export-prices,Best white 2,April,2005,170 - 172
export-prices,Best white 2,May,2005,170 - 172
export-prices,Best white 2,June,2005,168 - 170
export-prices,Best white 2,July,2005,168 - 170
export-prices,Best white 2,August,2005,168 - 170
export-prices,Best white 2,September,2005,168 - 170
export-prices,Best white 2,October,2005,168 - 170
export-prices,Best white 2,November,2005,168 - 170
export-prices,Best white 2,December,2005,168 - 170
export-prices,Mixed papers,January,2006,37 - 39
export-prices,Mixed papers,February,2006,38 - 40
export-prices,Mixed papers,March,2006,34 - 39
export-prices,Mixed papers,April,2006,34 - 39
export-prices,Mixed papers,May,2006,35 - 40
export-prices,Mixed papers,June,2006,35 - 40
export-prices,Mixed papers,July,2006,37 - 41
export-prices,Mixed papers,August,2006,38 - 42
export-prices,Mixed papers,September,2006,36 - 42
export-prices,Mixed papers,October,2006,36 - 42
export-prices,Mixed papers,November,2006,36 - 42
export-prices,Mixed papers,December,2006,40 - 45
export-prices,Old kls (cardboard),January,2006,58 - 61
export-prices,Old kls (cardboard),February,2006,58 - 61
export-prices,Old kls (cardboard),March,2006,58 - 59
export-prices,Old kls (cardboard),April,2006,58 - 59
export-prices,Old kls (cardboard),May,2006,58 - 60
export-prices,Old kls (cardboard),June,2006,56 - 60
export-prices,Old kls (cardboard),July,2006,58 - 62
export-prices,Old kls (cardboard),August,2006,58 - 60
export-prices,Old kls (cardboard),September,2006,55 - 58
export-prices,Old kls (cardboard),October,2006,53 - 55
export-prices,Old kls (cardboard),November,2006,53 - 55
export-prices,Old kls (cardboard),December,2006,53 - 55
export-prices,News and pams,January,2006,48 - 54
export-prices,News and pams,February,2006,48 - 54
export-prices,News and pams,March,2006,50 - 53
export-prices,News and pams,April,2006,51 - 53
export-prices,News and pams,May,2006,51 - 53
export-prices,News and pams,June,2006,51 - 53
export-prices,News and pams,July,2006,52 - 56
export-prices,News and pams,August,2006,53 - 56
export-prices,News and pams,September,2006,51 - 54
export-prices,News and pams,October,2006,50 - 52
export-prices,News and pams,November,2006,50 - 52
export-prices,News and pams,December,2006,51 - 53
export-prices,Coloured best pams,January,2006,72 - 74
export-prices,Coloured best pams,February,2006,72 - 74
export-prices,Coloured best pams,March,2006,71 - 72
export-prices,Coloured best pams,April,2006,71 - 72
export-prices,Coloured best pams,May,2006,72 - 73
export-prices,Coloured best pams,June,2006,73 - 75
export-prices,Coloured best pams,July,2006,75 - 78
export-prices,Coloured best pams,August,2006,76 - 80
export-prices,Coloured best pams,September,2006,77 - 80
export-prices,Coloured best pams,October,2006,78 - 81
export-prices,Coloured best pams,November,2006,78 - 81
export-prices,Coloured best pams,December,2006,79 - 83
export-prices,Tear white shavings,January,2006,90 - 100
export-prices,Tear white shavings,February,2006,90 - 100
export-prices,Tear white shavings,March,2006,90 - 100
export-prices,Tear white shavings,April,2006,90 - 100
export-prices,Tear white shavings,May,2006,90 - 100
export-prices,Tear white shavings,June,2006,90 - 100
export-prices,Tear white shavings,July,2006,92 - 105
export-prices,Tear white shavings,August,2006,92 - 105
export-prices,Tear white shavings,September,2006,92 - 105
export-prices,Tear white shavings,October,2006,95 - 105
export-prices,Tear white shavings,November,2006,95 - 105
export-prices,Tear white shavings,December,2006,95 - 105
export-prices,White letter,January,2006,125 - 130
export-prices,White letter,February,2006,125 - 130
export-prices,White letter,March,2006,120 - 135
export-prices,White letter,April,2006,120 - 135
export-prices,White letter,May,2006,120 - 135
export-prices,White letter,June,2006,125 - 135
export-prices,White letter,July,2006,125 - 135
export-prices,White letter,August,2006,125 - 135
export-prices,White letter,September,2006,125 - 130
export-prices,White letter,October,2006,130 - 140
export-prices,White letter,November,2006,130 - 140
export-prices,White letter,December,2006,135 - 140
export-prices,Best white 2,January,2006,168 - 170
export-prices,Best white 2,February,2006,168 - 170
export-prices,Best white 2,March,2006,168 - 170
export-prices,Best white 2,April,2006,168 - 170
export-prices,Best white 2,May,2006,168 - 170
export-prices,Best white 2,June,2006,168 - 173
export-prices,Best white 2,July,2006,168 - 173
export-prices,Best white 2,August,2006,168 - 173
export-prices,Best white 2,September,2006,170 - 175
export-prices,Best white 2,October,2006,170 - 175
export-prices,Best white 2,November,2006,170 - 175
export-prices,Best white 2,December,2006,170 - 175
export-prices,Mixed papers,January,2007,47 - 50
export-prices,Mixed papers,February,2007,51 - 53
export-prices,Mixed papers,March,2007,55 - 58
export-prices,Mixed papers,April,2007,58 - 63
export-prices,Mixed papers,May,2007,55 - 57
export-prices,Mixed papers,June,2007,58 - 61
export-prices,Mixed papers,July,2007,59 - 62
export-prices,Mixed papers,August,2007,62 - 65
export-prices,Mixed papers,September,2007,64 - 66
export-prices,Mixed papers,October,2007,55 - 60
export-prices,Mixed papers,November,2007,52 - 58
export-prices,Mixed papers,December,2007,53 - 55
export-prices,Old kls (cardboard),January,2007,55 - 58
export-prices,Old kls (cardboard),February,2007,62 - 74
export-prices,Old kls (cardboard),March,2007,67 - 79
export-prices,Old kls (cardboard),April,2007,68 - 72
export-prices,Old kls (cardboard),May,2007,63 - 65
export-prices,Old kls (cardboard),June,2007,65 - 68
export-prices,Old kls (cardboard),July,2007,70 - 78
export-prices,Old kls (cardboard),August,2007,73 - 78
export-prices,Old kls (cardboard),September,2007,74 - 76
export-prices,Old kls (cardboard),October,2007,68 - 70
export-prices,Old kls (cardboard),November,2007,66 - 69
export-prices,Old kls (cardboard),December,2007,63 - 67
export-prices,News and pams,January,2007,58 - 61
export-prices,News and pams,February,2007,65 - 67
export-prices,News and pams,March,2007,66 - 70
export-prices,News and pams,April,2007,73 - 75
export-prices,News and pams,May,2007,66 - 69
export-prices,News and pams,June,2007,67 - 71
export-prices,News and pams,July,2007,73 - 76
export-prices,News and pams,August,2007,75 - 77
export-prices,News and pams,September,2007,75 - 77
export-prices,News and pams,October,2007,72 - 75
export-prices,News and pams,November,2007,67 - 71
export-prices,News and pams,December,2007,65 - 67
export-prices,Coloured best pams,January,2007,80 - 83
export-prices,Coloured best pams,February,2007,83 - 86
export-prices,Coloured best pams,March,2007,88 - 91
export-prices,Coloured best pams,April,2007,89 - 93
export-prices,Coloured best pams,May,2007,89 - 93
export-prices,Coloured best pams,June,2007,90 - 94
export-prices,Coloured best pams,July,2007,99 - 104
export-prices,Coloured best pams,August,2007,102 - 107
export-prices,Coloured best pams,September,2007,102 - 107
export-prices,Coloured best pams,October,2007,102 - 107
export-prices,Coloured best pams,November,2007,102 - 107
export-prices,Coloured best pams,December,2007,102 - 107
export-prices,Tear white shavings,January,2007,95 - 105
export-prices,Tear white shavings,February,2007,98 - 108
export-prices,Tear white shavings,March,2007,103 - 111
export-prices,Tear white shavings,April,2007,108 - 112
export-prices,Tear white shavings,May,2007,108 - 112
export-prices,Tear white shavings,June,2007,110 - 114
export-prices,Tear white shavings,July,2007,110 - 114
export-prices,Tear white shavings,August,2007,115 - 120
export-prices,Tear white shavings,September,2007,115 - 120
export-prices,Tear white shavings,October,2007,115 - 120
export-prices,Tear white shavings,November,2007,115 - 120
export-prices,Tear white shavings,December,2007,115 - 120
export-prices,White letter,January,2007,138 - 142
export-prices,White letter,February,2007,138 - 142
export-prices,White letter,March,2007,138 - 145
export-prices,White letter,April,2007,143 - 148
export-prices,White letter,May,2007,143 - 148
export-prices,White letter,June,2007,145 - 150
export-prices,White letter,July,2007,150 - 155
export-prices,White letter,August,2007,50 - 155
export-prices,White letter,September,2007,50 - 155
export-prices,White letter,October,2007,152 - 157
export-prices,White letter,November,2007,152 - 157
export-prices,White letter,December,2007,152 - 157
export-prices,Best white 2,January,2007,170 - 175
export-prices,Best white 2,February,2007,170 - 175
export-prices,Best white 2,March,2007,170 - 175
export-prices,Best white 2,April,2007,172 - 177
export-prices,Best white 2,May,2007,172 - 177
export-prices,Best white 2,June,2007,175 - 178
export-prices,Best white 2,July,2007,175 - 180
export-prices,Best white 2,August,2007,182 - 192
export-prices,Best white 2,September,2007,182 - 192
export-prices,Best white 2,October,2007,180 - 190
export-prices,Best white 2,November,2007,180 - 190
export-prices,Best white 2,December,2007,180 - 190
export-prices,Mixed papers,January,2008,57 - 61
export-prices,Mixed papers,February,2008,63 - 67
export-prices,Mixed papers,March,2008,68 - 72
export-prices,Mixed papers,April,2008,65 - 70
export-prices,Mixed papers,May,2008,65 - 68
export-prices,Mixed papers,June,2008,65 - 72
export-prices,Mixed papers,July,2008,68 - 74
export-prices,Mixed papers,August,2008,65 - 68
export-prices,Mixed papers,September,2008,65 - 68
export-prices,Mixed papers,October,2008,50 - 55
export-prices,Mixed papers,November,2008,0 - 10
export-prices,Mixed papers,December,2008,9 - 14
export-prices,Old kls (cardboard),January,2008,68 - 72
export-prices,Old kls (cardboard),February,2008,81 - 85
export-prices,Old kls (cardboard),March,2008,85 - 92
export-prices,Old kls (cardboard),April,2008,81 - 83
export-prices,Old kls (cardboard),May,2008,72 - 75
export-prices,Old kls (cardboard),June,2008,69 - 72
export-prices,Old kls (cardboard),July,2008,72 - 74
export-prices,Old kls (cardboard),August,2008,68 - 71
export-prices,Old kls (cardboard),September,2008,72 - 74
export-prices,Old kls (cardboard),October,2008,50 - 60
export-prices,Old kls (cardboard),November,2008,10 - 28
export-prices,Old kls (cardboard),December,2008,25 - 30
export-prices,News and pams,January,2008,66 - 69
export-prices,News and pams,February,2008,72 - 106
export-prices,News and pams,March,2008,77 - 82
export-prices,News and pams,April,2008,80 - 84
export-prices,News and pams,May,2008,87 - 90
export-prices,News and pams,June,2008,95 - 100
export-prices,News and pams,July,2008,100 - 105
export-prices,News and pams,August,2008,107 - 115
export-prices,News and pams,September,2008,105 - 112
export-prices,News and pams,October,2008,95 - 100
export-prices,News and pams,November,2008,25 - 40
export-prices,News and pams,December,2008,25 - 30
export-prices,Coloured best pams,January,2008,105 - 110
export-prices,Coloured best pams,February,2008,112 - 117
export-prices,Coloured best pams,March,2008,117 - 122
export-prices,Coloured best pams,April,2008,120 - 125
export-prices,Coloured best pams,May,2008,122 - 125
export-prices,Coloured best pams,June,2008,122 - 125
export-prices,Coloured best pams,July,2008,122 - 125
export-prices,Coloured best pams,August,2008,125 - 128
export-prices,Coloured best pams,September,2008,125 - 128
export-prices,Coloured best pams,October,2008,120 - 125
export-prices,Coloured best pams,November,2008,60 - 75
export-prices,Coloured best pams,December,2008,50 - 60
export-prices,Multigrade,January,2008,112 - 117
export-prices,Multigrade,February,2008,117 - 122
export-prices,Multigrade,March,2008,122 - 130
export-prices,Multigrade,April,2008,126 - 131
export-prices,Multigrade,May,2008,127 - 130
export-prices,Multigrade,June,2008,127 - 130
export-prices,Multigrade,July,2008,127 - 130
export-prices,Multigrade,August,2008,128 - 135
export-prices,Multigrade,September,2008,128 - 135
export-prices,Multigrade,October,2008,123 - 130
export-prices,Multigrade,November,2008,110 - 118
export-prices,Multigrade,December,2008,100 - 105
export-prices,Tear white shavings,January,2008,117 - 122
export-prices,Tear white shavings,February,2008,122 - 127
export-prices,Tear white shavings,March,2008,124 - 128
export-prices,Tear white shavings,April,2008,124 - 128
export-prices,Tear white shavings,May,2008,124 - 128
export-prices,Tear white shavings,June,2008,124 - 128
export-prices,Tear white shavings,July,2008,128 - 132
export-prices,Tear white shavings,August,2008,130 - 134
export-prices,Tear white shavings,September,2008,130 - 134
export-prices,Tear white shavings,October,2008,125 - 130
export-prices,Tear white shavings,November,2008,110 - 118
export-prices,Tear white shavings,December,2008,100 - 105
export-prices,White letter,January,2008,155 - 160
export-prices,White letter,February,2008,160 - 165
export-prices,White letter,March,2008,160 - 165
export-prices,White letter,April,2008,165 - 170
export-prices,White letter,May,2008,165 - 170
export-prices,White letter,June,2008,165 - 170
export-prices,White letter,July,2008,165 - 170
export-prices,White letter,August,2008,180 - 200
export-prices,White letter,September,2008,180 - 200
export-prices,White letter,October,2008,170 - 190
export-prices,White letter,November,2008,130 - 140
export-prices,White letter,December,2008,125 - 130
export-prices,Best white 2,January,2008,180 - 190
export-prices,Best white 2,February,2008,190 - 200
export-prices,Best white 2,March,2008,190 - 200
export-prices,Best white 2,April,2008,195 - 205
export-prices,Best white 2,May,2008,195 - 205
export-prices,Best white 2,June,2008,195 - 205
export-prices,Best white 2,July,2008,195 - 205
export-prices,Best white 2,August,2008,200 - 215
export-prices,Best white 2,September,2008,200 - 215
export-prices,Best white 2,October,2008,180 - 195
export-prices,Best white 2,November,2008,170 - 180
export-prices,Best white 2,December,2008,170 - 175
export-prices,Mixed papers,January,2009,10 - 20
export-prices,Mixed papers,February,2009,25 - 30
export-prices,Mixed papers,March,2009,25 - 30
export-prices,Mixed papers,April,2009,28 - 32
export-prices,Mixed papers,May,2009,38 - 40
export-prices,Mixed papers,June,2009,42 - 48
export-prices,Mixed papers,July,2009,45 - 48
export-prices,Mixed papers,August,2009,48 - 53
export-prices,Mixed papers,September,2009,47 - 52
export-prices,Mixed papers,October,2009,50 - 54
export-prices,Mixed papers,November,2009,56 - 60
export-prices,Mixed papers,December,2009,56 - 59
export-prices,Soft mixed (municipal),January,2009,-
export-prices,Soft mixed (municipal),February,2009,-
export-prices,Soft mixed (municipal),March,2009,-
export-prices,Soft mixed (municipal),April,2009,-
export-prices,Soft mixed (municipal),May,2009,-
export-prices,Soft mixed (municipal),June,2009,-
export-prices,Soft mixed (municipal),July,2009,-
export-prices,Soft mixed (municipal),August,2009,-
export-prices,Soft mixed (municipal),September,2009,-
export-prices,Soft mixed (municipal),October,2009,-
export-prices,Soft mixed (municipal),November,2009,60 - 64
export-prices,Soft mixed (municipal),December,2009,58 - 62
export-prices,Old kls (cardboard),January,2009,32 - 38
export-prices,Old kls (cardboard),February,2009,34 - 57
export-prices,Old kls (cardboard),March,2009,47 - 52
export-prices,Old kls (cardboard),April,2009,54 - 56
export-prices,Old kls (cardboard),May,2009,62 - 64
export-prices,Old kls (cardboard),June,2009,57 - 60
export-prices,Old kls (cardboard),July,2009,58 - 61
export-prices,Old kls (cardboard),August,2009,60 - 65
export-prices,Old kls (cardboard),September,2009,59 - 62
export-prices,Old kls (cardboard),October,2009,62 - 66
export-prices,Old kls (cardboard),November,2009,65 - 70
export-prices,Old kls (cardboard),December,2009,72 - 73
export-prices,News and pams,January,2009,25 - 32
export-prices,News and pams,February,2009,40 - 44
export-prices,News and pams,March,2009,45 - 50
export-prices,News and pams,April,2009,50 - 53
export-prices,News and pams,May,2009,52 - 55
export-prices,News and pams,June,2009,55 - 60
export-prices,News and pams,July,2009,60 - 65
export-prices,News and pams,August,2009,58 - 63
export-prices,News and pams,September,2009,58 - 63
export-prices,News and pams,October,2009,60 - 65
export-prices,News and pams,November,2009,65 - 70
export-prices,News and pams,December,2009,65 - 70
export-prices,Coloured best pams,January,2009,60 - 65
export-prices,Coloured best pams,February,2009,70 - 25
export-prices,Coloured best pams,March,2009,72 - 77
export-prices,Coloured best pams,April,2009,85 - 90
export-prices,Coloured best pams,May,2009,85 - 90
export-prices,Coloured best pams,June,2009,85 - 90
export-prices,Coloured best pams,July,2009,80 - 84
export-prices,Coloured best pams,August,2009,85 - 90
export-prices,Coloured best pams,September,2009,85 - 90
export-prices,Coloured best pams,October,2009,85 - 90
export-prices,Coloured best pams,November,2009,85 - 90
export-prices,Coloured best pams,December,2009,94 - 95
export-prices,Multigrade,January,2009,60 - 70
export-prices,Multigrade,February,2009,80 - 90
export-prices,Multigrade,March,2009,85 - 90
export-prices,Multigrade,April,2009,95 - 105
export-prices,Multigrade,May,2009,100 - 105
export-prices,Multigrade,June,2009,90 - 95
export-prices,Multigrade,July,2009,84 - 88
export-prices,Multigrade,August,2009,88 - 90
export-prices,Multigrade,September,2009,88 - 92
export-prices,Multigrade,October,2009,95 - 100
export-prices,Multigrade,November,2009,95 - 100
export-prices,Multigrade,December,2009,98 - 104
export-prices,Tear white shavings,January,2009,100 - 105
export-prices,Tear white shavings,February,2009,102 - 107
export-prices,Tear white shavings,March,2009,104 - 108
export-prices,Tear white shavings,April,2009,109 - 112
export-prices,Tear white shavings,May,2009,110 - 113
export-prices,Tear white shavings,June,2009,110 - 113
export-prices,Tear white shavings,July,2009,110 - 113
export-prices,Tear white shavings,August,2009,110 - 113
export-prices,Tear white shavings,September,2009,110 - 113
export-prices,Tear white shavings,October,2009,110 - 115
export-prices,Tear white shavings,November,2009,110 - 115
export-prices,Tear white shavings,December,2009,110 - 118
export-prices,White letter,January,2009,125 - 130
export-prices,White letter,February,2009,125 - 130
export-prices,White letter,March,2009,125 - 130
export-prices,White letter,April,2009,160 - 175
export-prices,White letter,May,2009,165 - 175
export-prices,White letter,June,2009,165 - 175
export-prices,White letter,July,2009,165 - 175
export-prices,White letter,August,2009,170 - 180
export-prices,White letter,September,2009,170 - 180
export-prices,White letter,October,2009,175 - 182
export-prices,White letter,November,2009,175 - 185
export-prices,White letter,December,2009,180 - 190
export-prices,Best white 2,January,2009,175 - 185
export-prices,Best white 2,February,2009,175 - 185
export-prices,Best white 2,March,2009,175 - 185
export-prices,Best white 2,April,2009,175 - 185
export-prices,Best white 2,May,2009,180 - 187
export-prices,Best white 2,June,2009,185 - 195
export-prices,Best white 2,July,2009,190 - 200
export-prices,Best white 2,August,2009,190 - 200
export-prices,Best white 2,September,2009,190 - 200
export-prices,Best white 2,October,2009,190 - 200
export-prices,Best white 2,November,2009,190 - 200
export-prices,Best white 2,December,2009,195 - 205
export-prices,Mixed papers,January,2010,68 - 72
export-prices,Mixed papers,February,2010,68 - 72
export-prices,Mixed papers,March,2010,80 - 85
export-prices,Mixed papers,April,2010,75 - 82
export-prices,Mixed papers,May,2010,78 - 83
export-prices,Mixed papers,June,2010,65 - 72
export-prices,Mixed papers,July,2010,72 - 78
export-prices,Mixed papers,August,2010,72 - 78
export-prices,Mixed papers,September,2010,82 - 87
export-prices,Mixed papers,October,2010,82 - 87
export-prices,Mixed papers,November,2010,85 - 92
export-prices,Mixed papers,December,2010,87 - 95
export-prices,Soft mixed (municipal),January,2010,66 - 70
export-prices,Soft mixed (municipal),February,2010,70 - 72
export-prices,Soft mixed (municipal),March,2010,82 - 87
export-prices,Soft mixed (municipal),April,2010,78 - 85
export-prices,Soft mixed (municipal),May,2010,79 - 85
export-prices,Soft mixed (municipal),June,2010,67 - 75
export-prices,Soft mixed (municipal),July,2010,75 - 82
export-prices,Soft mixed (municipal),August,2010,77 - 85
export-prices,Soft mixed (municipal),September,2010,86 - 90
export-prices,Soft mixed (municipal),October,2010,86 - 90
export-prices,Soft mixed (municipal),November,2010,88 - 95
export-prices,Soft mixed (municipal),December,2010,90 - 100
export-prices,Old kls (cardboard),January,2010,86 - 93
export-prices,Old kls (cardboard),February,2010,82 - 89
export-prices,Old kls (cardboard),March,2010,98 - 105
export-prices,Old kls (cardboard),April,2010,86 - 93
export-prices,Old kls (cardboard),May,2010,82 - 95
export-prices,Old kls (cardboard),June,2010,70 - 75
export-prices,Old kls (cardboard),July,2010,82 - 93
export-prices,Old kls (cardboard),August,2010,90 - 98
export-prices,Old kls (cardboard),September,2010,97 - 105
export-prices,Old kls (cardboard),October,2010,100 - 107
export-prices,Old kls (cardboard),November,2010,104 - 112
export-prices,Old kls (cardboard),December,2010,105 - 117
export-prices,News and pams,January,2010,70 - 75
export-prices,News and pams,February,2010,80 - 88
export-prices,News and pams,March,2010,91 - 97
export-prices,News and pams,April,2010,92 - 98
export-prices,News and pams,May,2010,93 - 100
export-prices,News and pams,June,2010,95 - 105
export-prices,News and pams,July,2010,100 - 105
export-prices,News and pams,August,2010,105 - 110
export-prices,News and pams,September,2010,110 - 118
export-prices,News and pams,October,2010,110 - 118
export-prices,News and pams,November,2010,118 - 125
export-prices,News and pams,December,2010,118 - 125
export-prices,Coloured best pams,January,2010,95 - 105
export-prices,Coloured best pams,February,2010,98 - 105
export-prices,Coloured best pams,March,2010,120 - 140
export-prices,Coloured best pams,April,2010,125 - 145
export-prices,Coloured best pams,May,2010,130 - 150
export-prices,Coloured best pams,June,2010,-
export-prices,Coloured best pams,July,2010,-
export-prices,Coloured best pams,August,2010,-
export-prices,Coloured best pams,September,2010,-
export-prices,Coloured best pams,October,2010,-
export-prices,Coloured best pams,November,2010,-
export-prices,Coloured best pams,December,2010,-
export-prices,Multigrade,January,2010,110 - 120
export-prices,Multigrade,February,2010,110 - 120
export-prices,Multigrade,March,2010,130 - 145
export-prices,Multigrade,April,2010,135 - 150
export-prices,Multigrade,May,2010,145 - 155
export-prices,Multigrade,June,2010,155 - 170
export-prices,Multigrade,July,2010,175 - 185
export-prices,Multigrade,August,2010,185 - 190
export-prices,Multigrade,September,2010,190 - 200
export-prices,Multigrade,October,2010,190 - 195
